
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
472;0.253558;1.83e-15;*;*;*;
473;0.401626;6.69e-16;*;*;*;
474;0.106769;1.51e-14;*;GRS:4FGL_J0908.7-4911[aab+22],PWN:[gsfj9;HE[dmd+88],HE[aab+22];
475;1.362890;3.27e-16;*;*;*;
476;1.579050;*;*;*;*;
477;1.940636;*;*;*;*;
478;1.526085;3.59e-15;*;*;RRAT;
479;1.310444;*;*;*;*;
480;0.052905;*;*;*;*;
481;0.812600;*;*;*;*;
482;1.216976;1.00e-17;*;*;*;
483;1.567994;3.61e-15;*;*;*;
484;0.009680;1.70e-20;ELL1;*;*;
485;0.430627;1.37e-14;*;GRS:4FGL_J0922.3+0644[aab+22],XRS:[pb15];HE[aab+22];
486;0.004417;*;*;*;*;
487;0.950289;9.76e-14;*;*;*;
488;*;*;*;*;RRAT;
489;0.746338;3.53e-14;*;*;*;
490;0.739505;4.92e-15;*;*;*;
491;0.005983;1.61e-20;ELL1;*;*;
492;0.761889;3.05e-16;*;*;*;
493;0.327951;*;*;*;*;
494;2.060400;*;*;*;*;
495;2.091500;*;*;*;*;
496;*;*;*;*;RRAT(?)[bbc+22];
497;1.807069;3.36e-15;*;*;*;
498;0.004638;3.63e-21;*;GRS:4FGL_J0931.2-1906[aab+22];HE[abb+15],HE[aab+22];
